200,300
34,23
100,100
25,25
25,90
10,314 
20,320
100,100
25,25
25,90
34,23
308,24
100,100
25,25
25,90
34,23
100,100
25,25
25,90
34,23
100,100
25,25
25,90
34,23
100,100
25,25
25,90
34,23
100,100
25,25
25,90
34,23
100,100
25,25
25,90
34,23
100,100
25,25
25,90
34,23
100,100
25,25
25,90
34,23
100,100
25,25
25,90
34,78
12,98
150,56
25,90
34,23
100,100
25,25
25,90
34,23
100,100
25,25
25,90
34,78
12,98
150,56
25,90
34,23
100,100
25,25
25,90
34,23
100,100
25,25
25,90
34,78
12,98
150,56
25,90
34,23
100,100
25,25
25,90
34,23
100,100
25,25
25,90
34,78
12,98
150,56
25,90
34,23
100,100
25,25
25,90
34,23
100,100
25,25
25,90
34,78
12,98
150,56
25,90
34,23
100,100
25,25
25,90
34,23
100,100
25,25
25,90
34,78
12,98
150,56
